PCA_Components,Reconstruction_MSE
10,1500.019007174868
20,886.7227373963825
30,654.7653841396589
40,535.7308955830622
50,459.08873428272034
60,406.8086634877085
70,367.59522354874065
80,336.6104798612402
90,310.6597058762905
100,289.2019708384374
110,271.3557822202829
120,255.88278128065096
130,242.55163832613883
140,231.65977506126163
150,221.10011475535828
160,211.7814881014607
170,203.32849261512345
180,195.80186707542634
190,188.77181660839304
200,182.62100921063816
210,176.72795359335802
220,171.46418714330167
230,166.466061322518
240,161.88442776128778
250,157.45813589067714
260,153.34694981243834
270,149.5090081888372
280,145.9186500643975
290,142.5023711515317
300,139.20198942767172
310,136.17527203468796
320,133.2288863265999
330,130.37656054974008
340,127.70441869071993
350,125.14740827322345
360,122.64521583318901
370,120.24233865312236
380,117.92340317512948
390,115.71750948557839
400,113.55506783557445
410,111.4168241857865
420,109.42324022597091
430,107.4371904645645
440,105.4829158179809
450,103.56397339975474
460,101.7221005140882
470,99.95013425696594
480,98.22889983964242
490,96.48534079900237
500,94.82772546545617
