PCA_Components,Causality_Score
1,70.66207314792955
2,75.60137146018211
3,70.7826849158372
4,73.12645447505884
5,69.22001936680805
6,67.68443517191835
7,66.60207620353147
8,65.13157650824868
9,63.823038707248344
10,61.706768816800164
20,56.944647084884274
30,55.55078371053169
40,53.151482395561466
50,51.738667172764615
60,52.38857479982531
70,52.40735398664559
80,53.87579421923201
90,55.156520142052
100,57.353958207166514
110,58.8134131876203
120,63.288150335931
130,64.93510485390621
140,66.84188104572239
150,68.54541946540927
160,71.98580281495624
170,73.52836651987994
180,75.09509104548577
190,77.6203094075611
200,79.96959915230578
